SchoolName,SchoolID,Address,City,State,Zip,Lat,Lon
Triton Central,256,4774 W 600 N,Fairland,IN,46126,39.6105619155828,-85.8719208288753
Warren Central,257,9500 E 16th St,Indianapolis,IN,46229,39.7896245176773,-85.9986256126354
Cambridge City Lincoln,258,205 E Parkway Dr,Cambridge City,IN,47327,39.8152334819307,-85.1658764034392
Centerville,259,507 Willow Grove Rd,Centerville,IN,47330,39.8131668177231,-85.0010791360203
Connersville,260,1100 Spartan Dr,Connersville,IN,47331,39.6358969405811,-85.1626925098707
Franklin County,261,1 Wildcat Ln,Brookville,IN,47012,39.4329402997626,-84.9973459758807
Hagerstown,262,701 Baker Rd,Hagerstown,IN,47346,39.9192548275814,-85.1622811973748
Knightstown,263,8139 US-40,Knightstown,IN,46148,39.7939255695646,-85.5408689188152
New Castle,264,801 Parkview Dr,New Castle,IN,47362,39.9139431053981,-85.3760994938897
Northeastern,265,7295 US-27,Fountain City,IN,47341,39.9347499152608,-84.9136476448329
Richmond,266,380 Hub Etchison Pkwy,Richmond,IN,47374,39.8233219506705,-84.9010851169265
Rushville Consolidated,267,1201 Lions Path,Rushville,IN,46173,39.6205560224556,-85.4480903950114
Seton Catholic,268,233 S 5th St,Richmond,IN,47374,39.8252384213735,-84.8955204817783
Tri,269,6972 IN-103,Straughn,IN,47387,39.8315272763619,-85.3527307768361
Union County,270,410 Patriot Blvd,Liberty,IN,47353,39.6356121221516,-84.9212123547798
Batesville,271,1 Bulldog Blvd W,Batesville,IN,47006,39.3096377878065,-85.2323586291548
East Central,272,1 Trojan Rd A,St Leon,IN,47012,39.2805829266833,-84.9755047916245
Greensburg,273,1000 E Central Ave,Greensburg,IN,47240,39.3401371244914,-85.4689619271925
Jac-Cen-Del,274,4544 US-421,Osgood,IN,47037,39.1403906575663,-85.2947255964218
Milan,275,609 N Warpath Dr,Milan,IN,47031,39.1293121764336,-85.1297832420547
North Decatur,276,3172 IN-3,Greensburg,IN,47240,39.382630484893,-85.4793536298862
Oldenburg Academy,277,1 Twister Cir,Oldenburg,IN,47036,39.38494,-85.23793
Rising Sun,278,210 S Henrietta St,Rising Sun,IN,47040,38.9502774639911,-84.8590554365349
South Dearborn,279,5770 Highlander Pl,Aurora,IN,47001,39.0620471325916,-84.9271138450234
South Decatur,280,8885 Indiana 3,Greensburg,IN,47240,39.2059759126737,-85.5753363871746
South Ripley,281,1589 S Benham Rd,Versailles,IN,47042,39.05147,-85.2500134147985
Center Grove,282,2717 S Morgantown Rd,Greenwood,IN,46143,39.5764289937433,-86.1967511992438
Christel House Academy,283,2717 S East St,Indianapolis,IN,46225,39.7277504036264,-86.1490280268312
Eminence,284,6760 IN-42,Martinsville,IN,46151,39.52451,-86.6416877820224
Franklin Community,285,2600 Cumberland Dr,Franklin,IN,46131,39.5111185907495,-86.085649253459
